date, precipitation
2020-01-31,0.00037742258064516127
2020-02-29,0.0006069103448275862
2020-03-31,6.451612903225806e-06
2020-04-30,0.0010733399999999999
2020-05-31,0.0021064612903225807
2020-06-30,0.0027866699999999998
2020-07-31,0.004609696774193548
2020-08-31,0.0013774322580645162
2020-09-30,0.00194001
2020-10-31,0.0038677548387096774
2020-11-30,0.001966683333333333
2020-12-31,0.0002451741935483871
2021-01-31,6.451935483870967e-05
2021-02-28,0.0021464285714285717
2021-03-31,6.774838709677419e-05
2021-04-30,0.0012433366666666668
2021-05-31,0.0005645258064516129
2021-06-30,0.0015500266666666665
2021-07-31,0.0016193677419354838
2021-08-31,0.0021258129032258066
2021-09-30,0.00168668
2021-10-31,0.0004419483870967742
2021-11-30,0.0018600166666666667
2021-12-31,0.00011612903225806452
2022-01-31,0.0005516193548387097
2022-02-28,0.00014644285714285714
2022-03-31,0.00048064838709677425
2022-04-30,0.0011533466666666665
2022-05-31,0.00022903548387096775
2022-06-30,0.0035433366666666665
2022-07-31,0.0011161387096774193
2022-08-31,0.0004871129032258065
2022-09-30,0.003843333333333333
2022-10-31,0.0006613032258064516
2022-11-30,0.00225334
2022-12-31,0.00046774838709677416
2023-01-31,9.678387096774194e-05
2023-02-28,0.0008571464285714285
2023-03-31,0.00020323225806451612
2023-04-30,0.0012600066666666667
2023-05-31,0.0008193612903225807
2023-06-30,0.003733336666666667
2023-07-31,0.0038548483870967745
2023-08-31,0.0012193612903225806
2023-09-30,0.00257668
2023-10-31,0.0011806612903225806
2023-11-30,0.0010400133333333334
2023-12-31,0.001358077419354839
2024-01-31,0.0007193612903225807
2024-02-29,0.0007172517241379312
2024-03-31,0.00019033225806451613
2024-04-30,0.00015000333333333333
2024-05-31,0.0014645193548387097
2024-06-30,0.0010166733333333334
2024-07-31,0.0012451709677419357
2024-08-31,0.0023129225806451615
2024-09-30,0.00410001
2024-10-31,0.0045613064516129035
2024-11-30,0.0006466833333333334
2024-12-31,0.001203232258064516
2025-01-31,0.0
